artifact_group,method,requested_far,tar_percent,far_rule,actual_far,checkpoint_sha256,calibration,review_status,finite_evidence,source,source_sha256,original_csv
ms1mv3_r50_layerwise_poly_group4_d2,ijbc-IJBC,0.1,98.77,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/ms1mv3_r50_layerwise_poly_group4_d2/ijbc_result/ms1mv3_r50_layerwise_poly_group4_d2/ijbc_tar_at_far.csv
channelwise_pair_geometry_8000_20260915,ijbc-IJBC,1e-06,90.09,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_pair_geometry_8000_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_pair_geometry_8000_20260915/ijbc_full/pair_geometry/ijbc_tar_at_far.csv
channelwise_pair_geometry_8000_20260915,ijbc-IJBC,1e-05,93.66,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_pair_geometry_8000_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_pair_geometry_8000_20260915/ijbc_full/pair_geometry/ijbc_tar_at_far.csv
channelwise_pair_geometry_8000_20260915,ijbc-IJBC,0.0001,95.87,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_pair_geometry_8000_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_pair_geometry_8000_20260915/ijbc_full/pair_geometry/ijbc_tar_at_far.csv
channelwise_pair_geometry_8000_20260915,ijbc-IJBC,0.001,97.31,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_pair_geometry_8000_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_pair_geometry_8000_20260915/ijbc_full/pair_geometry/ijbc_tar_at_far.csv
channelwise_pair_geometry_8000_20260915,ijbc-IJBC,0.01,98.35,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_pair_geometry_8000_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_pair_geometry_8000_20260915/ijbc_full/pair_geometry/ijbc_tar_at_far.csv
channelwise_pair_geometry_8000_20260915,ijbc-IJBC,0.1,99.04,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_pair_geometry_8000_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_pair_geometry_8000_20260915/ijbc_full/pair_geometry/ijbc_tar_at_far.csv
shared_d2_A_20260913,ijbc-IJBC,1e-06,4.22,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 10, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""scope""], ""nonfinite_values"": 146246796, ""path"": ""work_dirs/shared_d2_A_20260913/final_ijbc/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/shared_d2_A_20260913/final_ijbc/shared_d2/ijbc_tar_at_far.csv
shared_d2_A_20260913,ijbc-IJBC,1e-05,7.88,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 10, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""scope""], ""nonfinite_values"": 146246796, ""path"": ""work_dirs/shared_d2_A_20260913/final_ijbc/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/shared_d2_A_20260913/final_ijbc/shared_d2/ijbc_tar_at_far.csv
shared_d2_A_20260913,ijbc-IJBC,0.0001,14.16,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 10, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""scope""], ""nonfinite_values"": 146246796, ""path"": ""work_dirs/shared_d2_A_20260913/final_ijbc/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/shared_d2_A_20260913/final_ijbc/shared_d2/ijbc_tar_at_far.csv
